x,y,z 
-35.27,-15.39,-7.0
-35.03,-15.29,-6.94
-34.79,-15.19,-6.89
-34.56,-15.09,-6.84
-34.32,-14.99,-6.78
-34.09,-14.89,-6.73
-33.85,-14.78,-6.67
-33.62,-14.68,-6.62
-33.38,-14.58,-6.57
-33.15,-14.48,-6.51
-32.91,-14.38,-6.46
-32.67,-14.27,-6.41
-32.44,-14.17,-6.35
-32.2,-14.07,-6.3
-31.97,-13.96,-6.25
-31.73,-13.86,-6.19
-31.5,-13.76,-6.14
-31.26,-13.65,-6.09
-31.03,-13.55,-6.03
-30.79,-13.44,-5.98
-30.55,-13.34,-5.93
-30.32,-13.23,-5.87
-29.99,-13.08,-5.8
-29.65,-12.93,-5.73
-29.32,-12.77,-5.66
-28.98,-12.62,-5.59
-28.65,-12.47,-5.52
-28.32,-12.31,-5.45
-27.98,-12.16,-5.38
-27.65,-12.01,-5.31
-27.32,-11.85,-5.25
-26.99,-11.7,-5.18
-26.65,-11.55,-5.11
-26.32,-11.39,-5.04
-25.99,-11.24,-4.97
-25.66,-11.09,-4.9
-25.33,-10.94,-4.83
-25.0,-10.79,-4.76
-24.66,-10.63,-4.69
-24.33,-10.48,-4.62
-24.0,-10.33,-4.55
-23.67,-10.18,-4.48
-23.34,-10.03,-4.42
-23.02,-9.88,-4.35
-22.69,-9.73,-4.28
-22.36,-9.58,-4.21
-22.03,-9.43,-4.14
-21.7,-9.28,-4.08
-21.38,-9.13,-4.01
-21.05,-8.98,-3.94
